locNo   date        time    duration    c           qcFlag
54      20030727    10000   900         7003.5      0
54      20030727    11500   900         10398.8     0
64      20030727    10000   900         3407.1      0
64      20030727    11500   900         6166.9      0
65      20030727    10000   900         3851.7      0
65      20030727    11500   900         6808.5      0
74      20030727    10000   1800        2140.9      0
84      20030727    10000   900         1454.2      0
84      20030727    11500   900         1860.2      0
86      20030727    10000   900         1534.7      0
86      20030727    11500   900         2524.6      0
94      20030727    10000   900         758.3       0
94      20030727    11500   900         1450        0
